Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,14442.171479979506,299.3245203089003,1806.4762936102989,6823.092279210734,2885.0927750558317,1780.4093531292483,847.7762586644942,5.7247233182718,11.891461957792854,19.1453232563887,30.105268689696803,42.66549206467625,51.33091103576124,63.41109826565106,75.05024172066156,83.38167423402425,87.65831019632473,95.67456317595736,104.50601054335286,119.3524792543828,134.6011135798568,157.0651306842374,174.69990708802536,194.43901639857555,206.62794972405067,219.8563668359623,228.6137718955489,242.36635543003501,246.16262139054496,252.52744854819068,259.7068644838289,269.15849142137694,272.4239127820035,282.8192217196837,294.6245076769373,304.8402967336674,311.03118041729255,319.15723648966133,323.35976463474134,323.85209835481334,319.1727171565921,315.3879489861281,307.51867846584327,298.53945545256215,286.71402263003534,279.9601361288821,272.4189519468617,267.3444221902593,261.63249928372977,258.5375014637592,253.83594542330357,250.02607623920352,246.2810357926966,242.78250172985275,241.67264915439185,242.43895598691844,242.07038136473102,242.09218395716755,243.67103714030003,242.69032881683572,237.68119281038582,230.89910469270671,222.78732737064175,213.00385963040696,200.4141297071204,187.51616038243512,174.74830277830063,161.67763767773158,147.22142459187617,135.43837446237112,124.65180345167845,117.27798868241176,109.61754236104477,105.82747912295594,103.01465028091549,103.45164429479836,103.93842272400995,97.45349509419742,96.2779448422264,92.03676167475577,85.64340224939261,80.47110249750365,72.28436376660345,52.88889929164896,36.735829270291454,21.590753554478425,5.003639404587663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,18843.974486329418,320.7874025962844,2234.7866763594966,8901.196957185539,4072.620233125061,2277.6307269918625,1036.9524900711688,6.555069421901279,14.41095276719182,22.837429176424408,29.238353828137285,42.597018492134964,56.44705606173448,67.05587441873098,81.64564843002915,97.16124990549014,112.1103394312478,111.1062690235365,127.09799528907504,142.4303859274193,163.56053926751392,181.33142496389928,214.2737177507409,239.89734293888839,262.51973741280057,282.4897809813307,300.80789346755415,315.946873616419,324.50353871719625,328.6242562005305,336.99813797793837,343.61167673547874,349.9207910173433,354.2445778300774,372.59253502927834,380.50574229261537,391.2351050382272,397.75957281407057,411.52813196862706,409.6274742551145,410.6725261001829,404.64822041681816,402.14417735110635,389.7340911474554,381.4265728251694,371.6872997351138,371.74132331464136,366.4222704540053,364.04815064891824,360.2068214598111,361.3670902394011,354.9588366422794,352.73233675615916,348.25510755954264,348.666927307534,344.1500146809154,342.8596738190233,340.4941816219926,344.41516863334715,339.37809863153353,333.28303463867763,318.6802484448789,304.7466043891774,280.5946475865514,261.31607444224744,239.9698263186932,223.79983672346333,203.21600711895974,187.354482376192,170.5364725701468,159.2655414125071,148.37635823955122,139.86787678156043,133.5027190066706,129.83088441531925,126.75281598607843,125.54178187845056,122.76258075193277,120.6348406695504,114.37932864961807,101.70163995039054,90.03870037227509,84.39951233524273,61.5172757078677,42.776250532906474,29.991303950896643,16.45645928595914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,43032.21056584834,477.91540474164424,4338.454709896115,19199.351936462477,10092.890602299754,6266.5162043975815,2657.0817080507704,7.137033060185907,16.405882601455122,30.31404496738818,40.819475089698585,62.94465633505771,85.26796296451813,106.45586745411218,128.5704822692284,161.22973950262684,182.3896677220949,204.07757206857133,235.24226874703427,276.57928581194517,311.04736205434244,359.45596491830867,412.09310058141267,476.59356578565314,519.3316494386936,579.2935384165546,621.1209948488777,671.1048134412061,690.1783893908563,715.1664444443211,727.1021156180199,764.8595784531834,769.8858243413401,786.6678467793221,816.2422686048517,853.1514093562472,842.2551369083858,864.1872032895697,888.2608881716376,888.2580943243344,864.8300062466385,872.1980456904649,848.6513533802112,825.1902836978818,806.6411529937669,795.0805754985823,786.35722915572,791.228310283546,774.3072471656909,777.3813799065488,780.1663393201487,780.8079348880884,779.2123285399363,809.8486968259932,819.3590356544729,843.5065288405024,857.3270663266625,881.6730154759986,883.9968083793711,890.2461231525998,869.0190365882378,858.1281988377682,819.7658287901236,782.4655321060459,728.425960223711,683.8516138946047,618.4460022622998,572.9867585897043,513.5628768360898,466.75350740175367,425.8698532604368,402.89847314706185,369.03152641471,355.01180104361435,347.21229921754883,349.70689850964095,340.3452775450496,314.6438735932103,303.06141703319406,299.0088262655727,252.67520577630947,218.87237976287156,215.4956083554243,159.19274115171626,96.9515584929312,69.09241519707675,38.035506367773436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,50164.442546412916,561.5449375614066,4424.3728536059125,21671.59823695707,12304.314294647613,7610.27421423857,3592.3380094023614,7.849449750800447,11.867657633582166,22.07382972715569,44.3307701023269,70.21624127074692,99.64272278562521,135.44041006382272,170.1238562273465,180.6479353082549,207.93776235576416,215.92465470210854,239.51733386176116,268.63685463146874,316.2867880368645,353.3456324963788,413.79706544331117,473.0355182419623,529.3149597693977,588.0630042751236,637.8653444835171,688.5993260196706,739.0876256485417,754.8440522628564,775.6064115629507,819.5554880751215,845.4091196788232,849.50017457144,897.9221448051753,933.1726164605847,943.352634856354,957.4509097190248,985.2897310524834,987.312424084096,991.9606247947188,986.7235254560077,980.2835469245044,964.7022248046004,953.956153588345,935.28655634495,936.8314694430172,932.7927164782127,933.0756126964445,934.1120551492132,944.7710924799356,945.8470816278273,966.2642248163556,985.2352340064728,1018.7813602003616,1041.004699103037,1072.42309104744,1084.3262074414695,1093.2974812125892,1069.4513155037116,1050.8590988303656,1013.1279644248384,963.6965364331438,912.1454527739155,872.294101042442,801.461821014673,737.2974439303488,688.450299204373,628.9191163124236,563.9838851306351,529.1264781185404,499.70665083274423,474.40295437090737,453.9720093471724,448.5140021603938,453.71846019500464,449.7623635148192,431.4932333422465,420.3673877090712,391.3420512258182,355.6015123414102,308.0014893641394,282.50554217200994,207.43553934630333,150.22546377416975,90.99064031384658,50.89432610352251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,54770.442690428616,612.0009942129352,4694.198544575692,22994.676813093087,13726.237972645244,8420.644901918444,4322.683463983206,8.265031948868268,12.641724422209464,24.48801600062629,48.2066310486033,76.6888890584536,108.7170681485906,148.0627469313826,184.93088665420106,196.8730484164988,226.00704427363067,234.48395936874627,258.17836817966764,287.988798351564,337.3203952330911,374.9252459528688,437.7527026102722,498.920215943283,556.939988255976,617.0210970521767,667.7876809379162,719.2479593442297,771.9693297444768,787.8796586671564,810.7421241094246,857.4380926362301,886.5185193186172,891.2488583811571,943.6026576819517,980.5070291981692,993.5021007513312,1008.3704672829888,1038.6218288472132,1041.59908071798,1049.7466167550572,1044.7716388199476,1040.4442105889052,1026.2273599718858,1017.7020582072367,999.9044690509934,1005.7761408514008,1005.5718890899541,1013.0530047983232,1020.5206354738228,1039.711082804633,1046.2424960759508,1073.1530837878468,1096.9392307353512,1139.2506448759368,1167.0204985138996,1206.2648107214122,1221.257413829892,1230.3203824638042,1197.8446289191966,1170.1428877640221,1119.2406057578996,1058.5612892000318,995.9678660090136,950.2516154893544,871.8230411973982,803.3784237502756,751.4306862656834,690.0549966778083,622.0591184006004,587.4100697037429,558.0901935553998,536.3374980582527,523.9437993054938,529.8975935054199,546.4468853579406,548.9085067353121,531.0169696942407,514.1526266857051,472.5365638161082,422.9384090502246,365.41933444426553,332.95978954860067,243.7861989889463,176.5965930685901,108.27425282984603,59.647333763425934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,72930.26128619284,555.6025171677445,4308.109565496058,23820.53935484209,19469.397275623745,14291.662098842131,10484.95047422105,0.0,14.485850564456644,31.722000456566377,52.90396463705622,76.61062544439156,104.28043206892151,125.98162940507515,149.61801459127713,177.79103048360057,197.73675531157903,219.10691434076512,245.55543752469072,274.8746285308024,305.09544368625257,349.8546346867084,401.72509162083435,461.0013842804847,512.6304568727635,560.2199990792898,602.517789078287,647.756055335155,672.1971103737328,699.345944008844,733.5366848346074,768.9740244750757,791.3427193428377,820.4032124044162,850.679028832937,880.0068263877455,913.0113286167376,946.3318179996388,986.4932051829767,1028.1819865233867,1053.2519392192673,1078.1020159461211,1105.5408874248342,1116.9125757773038,1132.0951995873468,1169.0405236773086,1198.1044999063924,1238.8229648199924,1286.3002460503515,1334.1068022527973,1370.0017558622835,1429.6569574177065,1468.6621982095348,1535.1596228468936,1602.3552704599952,1666.5361954069585,1702.829680337372,1754.8262883006014,1749.7935239525814,1727.0814707507363,1678.3437004450816,1618.2573559985433,1535.8950114977426,1470.3595750619613,1374.1285309880047,1309.8581378819013,1252.7519233702385,1194.7469525162046,1130.589148675915,1102.360923614228,1070.550870133234,1057.6285250937372,1058.2800375327788,1093.291278002028,1177.1161959718966,1269.2717149208647,1285.4017303384842,1290.9330159994624,1289.728074297364,1191.482997036522,1014.428209499752,955.3270075563356,783.1919481336884,587.800382838332,398.27280676045984,275.2152610833606,99.287403660854,44.609922095571925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,74296.53772318223,865.0634142238061,6525.548263159592,23768.45754767853,18780.74719117748,13915.763835081674,10440.957471861171,0.0,14.040337638821285,32.712625401669094,59.85308442017325,110.7712770734248,163.18901028121132,214.69854034636865,269.79853906213776,328.19320440918733,343.4759604915554,381.4610843265593,405.19379942718473,455.5074647679077,492.22530675048364,554.0624578105592,604.6458243279773,688.4101476131221,716.5457252096884,763.5479008697222,792.2793871556454,820.8813472494713,808.460454881157,829.3301796706186,819.8369031941103,847.5984389017904,850.9377031839797,869.5061570411494,871.639171485705,914.5914839913768,916.0821065940142,949.1774993201994,972.5458413790616,1012.5986039150553,1008.3746342238691,1045.8935621845694,1038.6943841762668,1058.8561940667037,1057.800008858997,1094.25764112857,1101.7710390182463,1162.8981071412925,1190.7153341711428,1244.2805620995855,1281.7301898015974,1351.5921800149354,1380.6695386102942,1449.2942595147226,1504.439282149829,1580.7827656480579,1618.9277137340314,1685.5052462604376,1700.1028599602278,1714.9921493305949,1661.8340893659167,1612.488745250384,1520.11836133805,1463.93876194707,1363.431802332021,1310.2290977681146,1236.8032099850238,1202.573113615399,1121.3421780434694,1081.6860949393374,1033.5256945271137,1020.7105486817461,990.2979592659473,1021.2638989967328,1069.9614749796995,1148.243879871357,1184.8571972105694,1247.3094686699894,1248.5962363878707,1156.3879488772102,1056.818084168931,996.1404452150052,804.4843043752232,632.3425432216467,478.1959115563945,305.263584497871,125.8532753149494,56.464592494152576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,72112.03710750374,740.1705294763243,6183.569286106678,22557.25861542053,18534.25226914689,13764.56476882401,10332.221638529321,0.0,14.06766954296453,21.357894687907823,46.03726277680313,85.98138406465405,141.96051356646606,184.47609273049096,246.28971210703773,301.05935398557995,346.1725947689231,374.1511175360607,400.3343962750233,447.0062557061648,480.1140757096352,513.2415712038958,560.1439163792955,639.9604929418956,666.596900182322,713.0063687990363,741.7822426188458,770.8614597776457,758.641417140238,778.2824160365669,767.8032908224927,793.0114855632463,794.0373902980693,811.3401938190036,813.0451376498646,855.2906694831515,858.0433082373547,892.0342664141181,915.9203005806966,957.3145523543947,955.6090674510182,994.5817613624504,989.455894529733,1011.4370419083983,1011.6173302611979,1049.1457491055796,1058.090076990223,1120.16821869374,1149.8645095420195,1205.6349999090967,1246.0280774902333,1319.7211670238562,1352.8724604383622,1424.355521785992,1482.2732515818036,1560.6040346634086,1600.0507079893175,1667.4410850586146,1683.2423093223215,1698.6584073605848,1645.5750067400472,1595.9751979849298,1503.4831191976562,1447.0370550188088,1346.2821002445385,1293.5479825423986,1220.9706979108714,1187.9805351961973,1108.3098514224212,1070.3774735369514,1023.4179831985698,1011.400857179349,981.6683853730136,1012.8667909471892,1060.7050562537027,1137.2700980441416,1172.0917721119079,1174.4415940861686,1174.6437169016015,1143.7024612169052,1046.329518226386,932.5521860426436,856.4731542440277,685.910061621687,473.2634724117135,301.56888246226987,178.74041044828363,55.2343107115844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,68824.84822233651,813.7202801093905,6688.140297537731,22074.700776106525,17373.740214391284,12676.114093319131,9198.43256087245,0.0,5.690566329440758,18.285247601647693,44.341136993393526,91.61668825673208,155.29759168514792,215.90380515936192,282.58524408366657,348.1347530359606,383.7512347231958,406.4904145208706,441.85563506830636,483.0434491516082,516.6840796877234,563.9752398103387,620.2489923375614,671.1574148770252,717.8918978071608,754.5089574795489,780.3982290384313,802.0011986068713,817.5026842313174,808.385079875988,815.835365341278,827.9576372333528,832.7359482394957,833.084595570179,846.7116845199298,848.2783984188256,863.4285960194113,880.3488498886568,902.2759209847123,918.5912938115216,939.2956448149984,945.3735946526607,952.8195028078804,948.9338424909427,954.0256797699964,967.8307401899621,999.0804442034308,1022.264841462999,1067.3402463285747,1113.7594023917875,1166.8395842517525,1206.221071876672,1264.7758036185621,1321.2942660302554,1386.4750830037967,1440.3540552102409,1505.086480899477,1554.9351239293944,1591.1122347794546,1590.8165444529363,1565.5369080794787,1507.7107443822376,1439.4218981287795,1356.6376411570227,1279.4781627332275,1205.9086891575907,1147.4521572191168,1087.2644287940773,1034.367926861158,979.8237439385383,952.1475090653287,911.4919196468086,900.0224106280971,891.2668283602894,930.252675757876,958.6650011970653,1005.0909644915944,1044.838516225675,1070.8917484513277,1005.8461000445343,935.4000985482187,874.7568767689678,753.9966335512343,595.6542877879333,448.9983555230859,305.20872299593674,151.57776524487542,47.50749004199968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),57693.31982040242,721.8393691889548,5553.750894264886,18175.48244000413,14554.413612416189,10878.075036569064,7809.758467959208,0.0,5.706277605367726,17.344222614169663,40.88961823022728,82.34373186083705,138.45604478042048,189.75002212040852,247.3494519775241,289.7679474103315,335.4233812842124,353.69177284767693,382.86418322719584,411.0395643370741,445.1111757042738,462.6660894994869,505.4876082010408,543.445265789018,580.2551497883587,610.8420823348166,633.1566738413998,647.1167492813348,656.4470367664379,649.3470943617001,653.4210432578808,658.62310069637,662.0103480864635,664.581100072191,678.4972175050814,684.7531204282437,703.4496763557913,721.5931844080461,742.3592438960397,755.3953801361166,773.1823357588188,782.213035566556,793.367454773279,792.2944412968367,800.5128444207313,815.2939534137097,843.3651990634337,861.9401290367274,903.0134725178044,943.7399646585582,988.9653142459773,1017.3356718836916,1064.6053174057733,1107.919869247674,1161.3300802069805,1200.7090469390075,1254.1412230641274,1294.7005237880444,1327.4770857055787,1325.2602230305547,1311.127849176282,1269.2435168117293,1220.5632051567452,1154.173027963761,1097.4120828263374,1035.9283133780573,987.5297232949678,932.8680720832452,888.6664652554479,839.042462560355,819.3814216591045,782.7213512868508,776.1712141078931,765.0001173370545,799.1807848159897,814.9052277208854,850.6536981129506,877.5805247582448,848.5614819646584,840.5938964918851,781.9096188136124,737.0244041105747,643.7791768811041,566.404873315012,392.36354434906997,272.4758956092569,138.77348734750652,44.73263848444726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
