Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,11218.636647749876,192.02008393512136,1141.2538320676204,5357.152937471023,2239.1430803185963,1464.6615540246387,824.4051599328783,3.4892219924518524,7.430542718935179,11.979571750102572,18.99480316775919,26.54739641172264,33.500602050973484,41.48852575590613,48.58942008727029,54.25265645388765,55.81544209269707,60.30370592265485,65.86581324391325,74.5575855197911,81.24880299534782,95.05144907128813,105.41678771810926,121.82629179000799,131.59549622171306,143.28448620109347,152.03531483711674,163.86617766863992,162.2363425587006,170.82529679511453,177.5393705993761,189.58227543668926,197.17009373923463,215.30540293425216,223.1336959384024,236.26058261078774,238.10931506937249,245.15458995925397,242.8048353928177,246.25139066747403,295.3777509711042,299.25315184032036,290.47294404283247,287.46731197516027,278.19156168745775,219.58275043431453,208.13829872362228,203.61079694418373,194.46049222228686,189.20541224943332,183.15309701019183,184.1052008126682,179.37668811698086,180.8490722149564,181.27727132363708,183.2312212720008,181.5937389801528,189.22079616543502,189.3928277307293,192.34879386337727,192.9584209591892,195.89079344953092,188.89825542993802,185.22488242069224,173.5796711485344,160.79271579521802,143.28661442834866,131.22615906841258,116.76701175861788,107.65934848084758,98.75513773215131,93.50053496249309,86.9508168509462,83.73805585034205,83.1806055280347,85.35467882833905,87.38396222388056,87.11406395406703,113.27662130540716,112.94232617538007,110.59109973428457,92.96432226498388,77.95562992586194,35.59329967725028,18.409882113405413,2.3497547849300315,0.469518945088478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,15009.76705976315,223.62823855642304,1509.9020348794445,7192.564347670912,3213.8776162129666,1873.9574043680152,995.8374180753873,3.9895597213618834,9.348014340920098,15.981405179331315,24.870824255194133,28.651456611381512,38.80492877903558,47.57894006150242,54.4031096076961,60.85722089147914,70.01285238910896,74.76968136985971,81.77843988659505,95.19924472576193,106.01971394946732,123.90166433947924,140.3433760047971,163.73331143236834,180.8639010096972,199.26337103567081,213.15925784515983,228.95780590018086,231.3689533734341,239.02559576452168,244.85289482096385,258.15076526399065,267.3541040185181,286.46511729360265,294.3279915263608,310.2380582163868,314.44040572305863,320.2513483118448,318.05991094733486,328.41400446860155,380.4381616815779,383.58078842689474,375.5056045521901,371.180296800508,356.92498837274087,298.03956941173493,286.75618934090033,283.48802991172613,276.18607229739183,273.2007998388035,265.3568914076461,268.2487846821871,264.5009013790886,267.72884850541993,271.3100456717753,275.04649434617147,268.82863378473184,274.627725397012,271.4983739683218,269.47002038401587,264.8823678788284,265.29520040615694,252.4402198092573,241.86590761631328,224.7225568415004,206.31868059765233,183.89250129677242,167.60319913227733,149.96712411271758,135.4128238589032,123.95239498435508,117.79417329555588,110.69733702223104,106.72705405200908,105.00365155772732,106.3332880527925,106.94974820462572,110.7780523960202,136.7594644504559,136.044558348991,126.73359048344022,110.84313455561266,87.84153824722931,41.70758281373504,21.64871479620193,8.749889939268982,1.447855787013724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,37006.98390254522,325.75334176706207,2908.854362166577,17288.74662472389,9113.11997393316,5054.280257382216,2316.2293425723124,5.3373574303828475,7.994257563674397,19.215424356719247,31.730251775193786,41.33774203547668,55.11579509565739,78.14646193796021,86.87605157199751,118.33519758264902,134.2968958630933,148.5716752447967,154.5716631115176,192.2892159173452,193.55267222582734,226.0933920542152,254.90281142737217,318.2884389936935,342.39660653245966,391.3507528585082,434.2050403550994,495.9538691706128,501.1183006484367,546.2350596745422,570.4780992957043,632.4998318166561,645.8596925305576,700.5866836089865,732.4622528698003,805.7537355399527,791.6527245666573,821.2086098266426,828.420364202838,858.9799104464923,827.1385548714113,840.4306499439043,817.2488790119284,824.7244740031732,771.0678332417459,752.1717811904442,725.8930338829903,733.550539445166,691.7343810923091,693.1745993800442,680.4027644628958,704.1025472493848,690.1247157960968,712.0924426414986,731.125261475265,782.7929206504788,776.4921502426303,796.7599452341298,798.046080508433,814.5223480407205,789.0379802689844,777.5543751646944,740.4692066608445,702.9578776107094,618.8005940766217,548.548073482686,478.6868290137906,434.55303245509657,378.93595865272147,353.0484520882925,328.0087948272432,316.9224326314063,298.27900482246065,302.4100613265416,293.129146394646,297.550208710491,297.45894580250376,306.9271124634706,301.1333743949714,291.5949943913958,266.9582077982504,220.11742366683757,156.53453389382844,100.23596021157951,56.47903005095607,17.586784968323755,3.6527662197041817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,43703.138601470935,358.18543512141764,3175.4010774579747,19789.462188515077,11176.944333138365,6232.5599153675685,2970.5856518705164,5.199750546669584,8.244079213104083,15.521588334639613,32.811261948749,45.10031147089863,61.35879270176674,86.94058590257126,103.00906500301872,131.3617098925157,147.34704326205915,162.1367857780433,168.66244331584744,205.36811376805088,210.1427685156939,244.60565962423797,276.10405759101485,342.96638112071065,374.7399259330014,431.0163741340381,480.94981452276113,548.6283056368158,563.6072259963546,616.3267486678662,643.9668905679358,713.2686313183765,733.3358424412413,789.6248399305723,823.9498165609385,896.3143853508309,883.8175992118743,918.5720941101647,929.2516954398984,960.2953052401652,934.334846675804,951.2103918765472,930.1325066880372,940.7002134734199,892.3697309719116,879.9166548404013,857.4925469775649,869.0948966752178,831.8651365725931,842.3073914742087,839.0784918163388,869.0299493563325,866.3387039029562,896.7011558150322,917.0507973009774,967.9851099121507,963.0450404597392,976.4750036528591,977.2731244082917,987.0871685306412,950.2321310105569,927.210815369942,878.5153334188861,827.6062892630092,735.4935507059074,660.5955150675456,584.3853873056473,536.6079529010551,474.26652391780317,441.7462663300237,415.1146368909999,403.4215593296457,382.3677106054265,385.4446928434308,385.50983020707406,395.9696811632434,397.63733059096666,404.46541786198645,395.7056087634478,369.91693631963136,332.8461244473874,267.3653864818908,191.2945657820436,121.76772431809728,69.93548494612814,18.94113805999229,4.740253135700853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,50420.10838371458,424.8048306483697,3521.2923428286185,21616.35694619091,13160.504932940383,7555.698682187289,4141.450648919037,5.921191447462528,9.333161762884151,18.36100903918389,38.611490693017075,53.536240229542884,73.60805421420805,103.28804759879013,122.14563566328098,150.49658157111344,168.82140176790125,183.2386021802081,190.32634054402453,227.26719041833832,236.0399009110391,270.7671414118065,306.459363606997,376.1797158592093,412.51143736294114,471.5993954316814,527.5852717633586,593.9130484312676,609.1529912132229,662.4524615545939,692.5259390069673,761.6510328668971,790.1447335258129,849.5624196786499,887.0235838557703,957.3702963464843,951.9221804981304,986.188383484568,1005.4700879651243,1037.0944736279494,1019.6150292058132,1033.402305282767,1015.0391918851668,1019.5956238564768,977.9444995388884,965.9848026218367,953.280016603018,970.3590657435756,946.2345403786819,962.0735366769321,968.3567023423177,1001.4405909817481,1009.21148623896,1046.7758576068559,1084.5557020807157,1146.8494378472294,1156.6539767988208,1171.020828802869,1171.5777659685773,1166.7918756009794,1119.437764218829,1074.6991267991586,1011.4905199956407,948.7032524993843,849.499303610029,764.3743435968794,685.8113572912549,636.6433847469034,570.9655415019885,532.9020028329918,508.28315323384066,508.63693935304514,496.5411676770687,511.6324159396117,541.7058199042913,575.7127908685377,581.1382906852738,582.122712701321,562.1915715030075,507.02074338225344,442.20716368697936,349.8128614870954,252.11994206089312,163.03234286643308,94.67240159378281,26.556885160356018,4.862942923103876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,63706.51498122251,413.645231560489,3391.673612657015,21331.289670506983,16666.771666948443,12989.935353175313,8913.19944637428,0.0,11.475806061366516,21.813922885762597,36.90672231609013,54.17357818440642,76.25443958023595,93.78359180806277,119.23717072456458,146.4553049394096,167.6190849865666,185.50596581802043,200.43534077057637,221.38560872002307,235.67696232450425,264.5190837154013,302.2123867484915,346.4395619540615,395.92713602552436,440.2308084201164,485.26636823431954,533.769464027027,574.3781731867033,594.0375137840025,637.1809325287886,687.6170073652603,726.398007075591,758.859911426598,801.2947465379992,833.6841635707224,862.4725424916421,884.7928718004871,915.9989937315556,948.4664910912284,970.4934080823883,973.3891475595462,978.2985078705107,996.6631145069614,1006.8695855245263,1027.475201558228,1048.585604775077,1098.2842030170157,1123.7577928425924,1158.4216654632826,1190.1006206892466,1250.1667710843624,1298.846163171494,1353.7991333065186,1406.2980953539013,1463.2363531449707,1480.9443619138071,1480.9793430065756,1466.8984430684866,1441.0681805284405,1398.72642895934,1345.0556037005706,1280.7527897099735,1239.281875182046,1188.357566388785,1139.6154249739554,1107.4458796574706,1077.3729715302618,1033.2852220307084,997.3237771895044,972.3235018316154,990.4362224521832,1022.2683846652237,1061.8937805786607,1160.330746694899,1249.7493410730842,1254.0478625820253,1221.178865346001,1181.448720147022,1084.1180124988223,899.0634422193386,757.7289863528903,572.8362320361313,382.903535642584,196.3527768332375,100.38437961270516,11.834891188973529,1.5524008414631445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,67141.87530730966,672.5375036464463,5257.523689857003,22212.695780282913,16565.026499214404,13334.69690229865,9099.394932010255,0.0,10.732394962305056,22.964875062087273,49.20063576063708,87.69861849616146,129.86170501251013,166.54606030245037,205.533214050295,235.48443998405799,254.9822884431163,273.54966923194274,303.79608085123266,347.7528665701722,390.10059331107016,434.8177510388777,496.06332730077327,561.6008788194194,610.6111191142796,648.0835541468289,700.6811210452317,739.5877019110028,758.4674433056613,772.5036975175221,796.7782138753355,815.8366929609432,835.1493234690573,844.2944568101766,864.1688569193402,886.9905937290309,894.7204526775927,902.9584786467984,929.3248283374916,953.6678703362219,963.7962476753996,967.1334696342076,973.0661481275857,971.8443280768734,967.3427824127963,975.8393209535876,1001.9985906249556,1040.7591629732901,1077.5177638664277,1115.8572729490827,1163.0920824925315,1221.0412393419,1259.9255104887468,1298.3238269390013,1356.4970631237304,1407.7286324705647,1430.698259941412,1465.7620944081846,1487.0345299191645,1470.623446514229,1432.3337865011854,1392.2451443443942,1342.8129652218872,1296.1061874831234,1245.7700129777381,1212.4706015872453,1176.7999876301838,1125.7705385172999,1076.6374276782522,1048.2020317023218,1009.72488437118,1008.2013368286322,1010.5713586530643,1029.9443258536958,1094.498209015915,1179.1812130562448,1211.2839618427006,1246.1971239300854,1224.847692351547,1113.5486600559275,998.9381094439116,804.56863562669,585.2667882512125,391.3568359051114,238.83308314027374,78.63215210312282,25.667510984934864,1.0731653184922576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,65682.6523190986,580.3866180577297,5111.190564719949,21271.300455333425,16402.967287001433,13267.708733203794,9049.098660782276,0.0,11.244028933990256,16.434161369326905,35.37777887665949,72.89251271470698,109.15502303309485,144.79370542638128,190.4894077035699,241.3387273350707,258.82561580208903,280.76540303880324,308.5972665610091,348.77786830528163,372.0796809135688,414.7009911928367,473.29778658913904,535.5470924113268,583.3856203072098,621.0490806560873,672.8254316075274,710.3899947009484,728.7370749604954,740.1140664165528,762.0603387715926,778.9818719092414,794.6046318125935,802.4244346310626,822.1131982934203,844.4720421204939,851.7313275702505,861.4390513441675,886.275793697579,909.9035547218747,879.7272759599408,923.430616396798,930.6473647273607,931.3162567264334,926.5821551097833,976.2674697247636,962.6169015522862,1001.3075299251174,1037.5056082860904,1079.7735894556597,1128.878306518916,1190.2627656284826,1233.3426142911126,1276.3542258385064,1337.7804431478999,1392.5355479348002,1418.8890684586695,1455.6482430161705,1480.432530308063,1465.820612666815,1427.3419924057864,1386.7198884151032,1337.839354890022,1289.346093485013,1236.689847245327,1203.9450046451275,1168.979100592702,1118.2790467204827,1070.6386660828975,1044.0980888490906,1007.0976893671927,1006.1249730739701,1007.9920743776669,1025.58665000829,1088.931498756032,1172.2474475638255,1203.1529804889885,1178.5078189053204,1171.2610331207966,1107.7210137024451,994.1956635909597,800.8878967558313,642.2563769170529,436.4700033417844,237.91533776943183,77.91641743493318,25.50852166023595,1.0581495306679016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,64930.666015425166,648.8814759182314,5803.951610923701,21744.67839211712,15974.867358125464,12365.986323870537,8392.300854470108,0.0,3.7790233608211983,14.28627307523335,35.27720766964565,80.48305087282773,122.18084818724763,172.54541345131568,220.3296593011401,267.2162194945271,289.1939693545474,314.9467896485487,341.64265772078096,392.8997244831248,432.4929225029472,478.6792165850649,542.7818692611803,617.4679563239862,662.0401423517238,710.1450825355507,754.4450606617195,796.2235966852313,813.5224822700882,818.1817369802161,826.4544795361991,854.9491888764926,860.4604270662883,863.7586563133751,881.9709460088948,903.8828107493573,888.1322988140398,897.5495645309145,900.8877379509382,922.9549119294037,912.5035416005207,922.2665159214887,907.7823533050024,918.4971176136908,902.5301655816544,919.6197726524243,925.9225063562984,974.7712607635773,1000.5892629328094,1047.276919781476,1083.9901378967377,1154.0860414651838,1184.841651398782,1232.2922663973495,1268.3795597737947,1335.814904483863,1355.5838847395935,1405.3321816416235,1433.9256715229699,1460.0638588758968,1418.9457810584595,1392.3056362718705,1333.2959204960796,1275.0647070854784,1197.7917574444402,1154.268767524125,1109.8455870962196,1062.2717504507414,1010.3134044881704,977.5292562374952,933.9224044291977,914.57523405676,898.5182903024338,905.2053140975186,926.6798506579566,1010.5293980641368,1037.3499267967018,1093.1136142936011,1091.9801682911898,1028.7747522341358,924.1678098890068,813.2756601644255,590.8040276949749,404.6613632645508,264.44368836844643,116.90196299833393,15.039425051799185,1.2590573588063445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),55137.610475335576,571.7013520704486,4892.466094185297,18583.861321881996,13609.410594609997,10478.62813352513,7001.5429790627195,0.0,3.390186165324195,13.148663918612788,31.879003482639394,71.06849595093476,107.23447637708686,151.7860003376351,193.1945258382155,233.74045420056584,252.5589031355439,275.87613518997614,298.3150847640096,337.61057836566124,367.2194813768909,405.02310123614035,456.88960815648016,511.12182275597814,545.7639732475104,585.686705651275,622.6602461052652,653.2247426761676,669.6673934671985,675.7667401326296,688.3773346785547,712.6681053641989,723.5301163629346,732.3327386882561,748.4726732247508,759.3326212487053,744.8470508583755,756.2575707154599,766.1955056649177,786.3600301135675,785.4699191249191,801.9681373446159,791.2145953021173,793.8915431501482,785.7878414252427,807.6003680364148,813.9274622433243,853.9031914446873,875.3609032682418,915.0283666117173,942.6763707348497,993.741005547271,1016.8112319330563,1062.7483282797366,1087.9240704820616,1136.2581238360199,1157.6822318505153,1195.3070674177784,1214.320608178742,1233.2751728710473,1204.7135530755859,1176.6783932506778,1129.9508078875056,1078.8126851886807,1023.5237895262567,982.3013825452067,944.0923223044957,894.6751949550803,850.0691293956168,819.3116983876442,787.4670358188401,773.8198307322489,765.8260528443162,773.5785418922908,785.1504699344522,849.2695775067759,861.388534006185,872.0132795052914,869.1041700919162,852.9831807736008,765.6378996944064,682.4912397015463,533.8582711480931,376.82745377842485,224.2203202141469,99.89226405546749,12.907035435779108,0.9497531510859007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERBu_BAK_NB>PADu_BAK_NB@BAK,Bakerloo,NB,11,774,ERBu,Edgware Road (Bak),670,PADu,Paddington TfL,51488.14649792662,524.3582657231572,4425.011709495184,17331.299317440513,12757.813174395453,9803.563716859491,6646.100314012808,0.0,3.7144684732701823,12.979464475895028,30.553584175900337,65.7872741271172,98.40540534521804,138.55955529245313,174.35851383330325,198.69028763452926,216.51130202981895,233.9008166282569,255.4005649035766,291.5825211485736,333.2416885379564,370.6627770501317,421.53411117230746,472.7188221917045,509.5689808622644,543.6287622461721,577.5710750898918,609.5462220604278,624.1263857141837,631.4172310138348,647.4370686001837,669.2120071465953,679.1123782752203,691.238918867753,703.5317570717017,713.1361334740673,703.3038385891797,711.7395383020042,722.6253485270737,736.6380214909434,738.9249605109442,747.2100644932706,741.5902936049014,735.4168446043077,730.8280902775508,740.2094521497687,752.7992089663347,780.9815214697388,804.2784019315492,841.2423357390381,874.7532945599422,918.4090921130203,947.1204770145798,991.1226228477667,1016.31957745323,1062.8336807959402,1091.6064486922892,1123.486379694953,1143.2774932624181,1161.1300588057372,1136.1958220946647,1103.7360517440452,1062.575469876809,1012.8770076367053,961.4346018331447,920.2130406379274,886.4374051190671,841.8978506531122,796.8704121249109,771.3431623899544,741.1693770782523,724.2345556601213,712.1407381988138,716.0481275799189,718.8974379475633,781.0058225909157,793.7314068539822,834.1424407575334,838.0697448549391,829.0665783458327,743.2876355373403,652.5663055790128,498.61266300304,351.28458077279043,207.29096689675396,92.34868896081717,23.850486331443587,0.8429935284053425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PADu_BAK_NB>WARu_BAK_NB@BAK,Bakerloo,NB,12,670,PADu,Paddington TfL,746,WARu,Warwick Avenue,26070.52820508581,255.73115157756644,2037.288725841986,8329.129082980488,6729.870398397783,5260.471514130822,3458.0373321571715,0.0,2.576281481258233,10.002173062932568,18.074268769292072,27.89091380964189,45.137426297401205,64.038186183186,88.01190197385445,111.44296786758233,129.36761892185234,138.183412531013,149.1566907539881,151.80338923368018,153.13673664917948,161.22161443764082,176.408111879723,194.7788364167357,209.52746312331055,223.94692101685388,238.31496301042682,245.0258538362632,241.01443029364486,241.41373213559257,245.6190612795396,249.26698485260985,258.3259131896773,272.38914480691733,286.47765526791704,299.24985185817286,317.0655553173911,333.7076845946225,356.06505256198363,368.50074345999474,381.1175620007135,386.8994254386709,401.5237580631015,399.22547337795316,404.4753491644643,411.8043861187242,423.4294982947701,428.88646200234075,439.9696437020928,458.6548301015098,479.02103126181936,495.7676244297737,511.53075744009857,533.5369544938555,547.6232543461892,561.685662490674,570.4603282229473,579.8514131950823,590.339229393868,596.1632678291629,592.0025029654671,582.5376292210462,568.3717743696175,535.0353453738704,512.1000300408489,484.926823519745,469.9602458840772,442.8520842484176,430.62301146510526,418.68465949469896,410.15152198816565,396.1587314042503,393.0659210586473,385.34283153224317,381.5703081207509,386.1189502543809,393.9069710304663,393.3779504804693,403.3941318292184,378.83079941139266,389.9148196925356,355.8380202442557,292.12463949923506,216.62039735124225,160.26608425086292,65.89257328431715,16.019516497341982,5.732478331452656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
