Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,17964.418826004225,455.25616676067483,4973.1147751075905,5620.241821213721,4233.401462022364,1839.1303568217982,843.274244078071,6.1811089454262165,13.702573008576492,23.39126449974785,40.297796531921655,55.31440290699169,70.53175990048882,103.21548973401062,142.62177123351148,193.75535121019996,255.3857745253917,325.69406892210145,396.6246218129831,486.50536595493804,526.0378716711562,559.4226877926119,551.332559746594,523.5632059090535,441.86082555430016,387.314624292594,325.61781771566604,289.7447608489062,249.1238321711591,234.59603250836395,224.56978106224759,220.63326154594318,215.10446165691258,217.4356964693486,215.4979882150848,217.00741261262073,215.88877326692943,221.1902036689193,222.33698866624354,227.7315564409156,226.10745273690102,228.53951878309425,225.41605780904385,225.09933190013217,221.80258342202987,226.91648894908974,230.98215005312656,240.10952041436678,250.46574222895146,277.68449490766085,296.25773087573106,314.8004613099096,330.43936667428983,349.162137452194,368.1648063804891,371.6774172950995,383.4317248676964,391.23385183923403,393.9607663100854,366.30602079922653,349.06600260751617,322.7339441059939,292.4249623806292,256.6199917244238,228.33322513277332,207.04427676084208,180.23214269410832,159.2802844673442,140.69148692816935,129.98809277571306,118.77239271905394,112.28986622189687,106.2584712518805,101.28205358739001,98.33807255820295,97.92348291780071,99.3071980584908,95.63786550824038,97.43529443191576,95.13007405940168,88.43555739267781,83.16114159404111,72.30446116646655,52.164552866207025,34.9315907584848,21.700125565391854,5.142899758952296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,23470.787524788848,499.91583820421374,5858.995685542479,7612.732702735692,5889.244583310289,2501.544449958033,1108.3542650381364,7.663817856499424,18.06838306396985,30.002458820710427,37.26780882111258,57.555485868085604,88.19330527075462,107.17304758509488,153.99153091798632,222.90320992888698,305.64554139127654,356.9158968707804,472.93333058510666,548.3058029513843,623.7362610878827,630.9249960941319,663.2470060954147,606.0788885364086,545.7997168783119,464.53984280625457,417.9651923166396,360.98959378015593,331.60832692896184,315.25691856215343,299.11937888311843,293.32949723169963,282.4523093606959,281.9620975213375,280.2409891832167,286.01472605002544,286.48398822177063,294.5890532536462,300.7998042556562,308.58001757282193,307.6054280994176,312.0693028849805,313.9425133645008,313.4817117761334,312.63679207360155,319.5525594209179,324.8086596477803,334.52710137959275,348.6068113615149,378.60409855356505,425.4710233684285,439.05255615196495,457.0298355162537,508.4565491912497,523.8314385366376,509.0922453345616,526.6475745436851,567.9704473412398,533.3861621012992,506.76260283698787,480.1077294354824,453.4604976853236,383.4469446356035,345.0920195561021,308.896547496817,280.21945617623123,245.52478953533642,217.93254964611737,192.839823832068,178.56382446758667,163.8040978295694,154.0456356625186,144.0856562176922,138.12088021751256,132.4191693204817,130.44997176311506,128.87444831115445,131.06794704782328,129.94613785845215,124.94989294781143,110.9189513956391,98.30643969618606,90.10352732099844,65.6035305869012,45.31570383769486,33.35481455712537,19.462899715234894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,56912.03945129732,1265.2045028229363,17090.45569856799,16277.45308377728,13977.967267047876,5756.840724936639,2544.1181741445675,11.085217475102656,25.48907691688042,45.89228794228981,73.37183099911952,135.1258373892801,198.6181284835176,313.49059492059394,462.13152869615226,676.5804006828431,898.3881184636058,1132.6915050304954,1435.7795841700945,1663.8454155590905,1833.2726120540922,1847.1200390374509,1868.7098275419241,1699.3477655810966,1548.381687308113,1312.5897048078753,1173.7490383313066,1000.0044353266212,870.7182754916645,753.4608016539822,703.6999549488768,676.5281801799232,640.7931093977778,640.0592249977193,643.6031759253219,643.7445014618803,632.6689130520974,639.0199133254878,633.4697366334923,624.5579290543102,613.4846216757962,616.5112783473813,614.5216136475586,609.0316425641828,604.8947467299766,615.1546914263487,629.7160970074324,650.9751608268598,685.2898770414123,739.1457209635475,796.3994820976267,844.0496122876193,928.14488357966,997.9902275279727,1084.2575017756817,1158.5172185192512,1308.5072323889874,1349.0931131682178,1389.1803226416055,1353.7027639079972,1333.2389598623981,1177.351826395713,1053.9336049927724,912.7149111194448,785.8077868932463,639.5712085561738,539.1812096627741,470.5515700226396,415.0993460460975,380.3121079722469,352.0106720599076,334.47714809427004,312.10275089409527,306.1202356726909,308.89177794305226,313.5619433848832,319.6042682689609,310.19873166068663,302.66193341227006,293.90256643040277,252.69121591333575,211.73623060496357,201.9643248860401,145.9651355222389,89.62009150404562,64.51887180904825,37.692860747691505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,64964.70558775696,1342.7566497193307,16462.71057282502,18652.52775601223,17902.086518530832,7194.4471701163875,3410.176920553181,13.759488248022382,21.44755703357389,43.46179320195278,93.042156037682,147.57291347864646,210.48275790502197,341.3646203385456,471.6253634758857,636.223722641074,843.3586725535038,1124.7182227866892,1316.4573067786846,1616.427780863193,1733.3918501834562,1819.7381443671286,1737.029971583204,1716.6777203510064,1468.4342824829669,1318.3100692060548,1131.9428290280584,1022.1947927313128,850.4968865334928,783.4607848290082,735.8663577538483,716.5161954440649,685.6788289775428,697.36089500638,708.9571205107173,724.568565377265,726.030831980971,742.6469362680568,741.3279954168518,742.1523572309927,733.5061585266525,736.534503089465,733.8165351075436,733.3107982804818,729.7673563689752,749.237953618173,771.6761083891232,804.4899736192924,846.1112124695526,910.3582795446672,1026.4603289378006,1094.4199919015114,1153.6662387884235,1246.038539759845,1435.2956860558386,1506.3074911078015,1631.146802151525,1738.6509041791048,1848.0946092517725,1736.2687003140811,1646.0922046680075,1510.3217760918862,1355.7835742610334,1123.3971324538504,962.8560095005084,819.3397334043367,691.8714149059098,593.3682920476152,518.6119451735667,474.31564608935753,434.0047044270064,407.88150078366334,388.9481846282948,389.92677193590714,389.9258347663698,408.0015233349415,417.04530876044464,418.65664370965874,408.4063760878521,381.4915909536264,344.5940695897189,300.3215228994037,269.0497727105796,193.9107506800328,138.14253136325442,83.99422873757717,46.56260172609125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,75551.88839200143,1595.4862842261857,18429.289876144132,21325.06395015366,20598.631514340716,8854.10317621128,4749.31359092545,18.17367077481876,26.797470253676945,54.87468244947108,113.7842885953718,175.59739509553475,249.97226981977283,403.1424327465568,553.1440744909828,734.8647788071651,967.3193235253627,1269.4969486430605,1479.5334105033883,1723.3479441735587,1945.6703227880412,2040.0760661278355,1950.7804544341518,1912.9546991716165,1715.013973440516,1450.603477019503,1239.62847750993,1116.196655286845,935.0863660395061,864.029492340179,815.0872801466103,796.0232840762186,765.2197438378237,783.1809975048502,799.8931661721252,820.4826353753909,827.7676595853637,852.9924634474944,854.5518502808873,857.7764213966008,851.3095861709577,856.876072680289,856.6696559126619,856.9282782270523,854.5180645393839,880.7924938704723,908.7769305570861,945.9929377422694,997.9381946302625,1076.0492136234898,1150.9245067098434,1238.8158939737925,1353.6854385217475,1458.1634924071582,1592.2598341047697,1795.6266324915634,1917.6162045231074,1989.5783216416394,2036.3925899805358,2053.3988800438065,1877.516176504836,1729.9037283135262,1555.6743218342356,1365.8136618751798,1117.2985834594033,963.5250105477487,823.1486539676487,714.1622096140486,633.4526748137484,589.454880050941,548.1046393875711,522.5540156614893,507.44643489603243,524.75561862431,544.3867933131573,579.4863102801456,599.4569784250461,604.8454707531292,583.2938904076408,529.9208432517313,467.48831838732247,404.00700631505515,359.4906812405543,258.3920509339151,185.01083155016843,115.11122131774245,62.809988062999665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,90105.1886157095,1372.8579491413102,15162.660750437242,23279.785073938307,25188.77487965613,14107.53764426248,10993.572318274,0.0,25.28180982056713,54.13709278222142,89.5586604332531,163.99197976616418,248.28567324227024,334.7515185130349,456.8512145837993,621.7133754290504,787.2182598788777,1039.553663722594,1222.5794625318028,1478.3020410107993,1589.9985984454886,1666.3624201630982,1571.7649948225671,1565.4067470895304,1344.434157179264,1213.342482751495,1061.9845474126757,978.0089163246054,844.0725069225467,800.2405213512187,771.4121627684736,755.0431561820467,755.7036730286716,760.4191638931684,795.93364783598,821.0007344468298,853.6765935615821,865.9397383122151,908.2412433141933,927.0942039708414,947.6377957393887,970.3695682710162,1013.8679368290055,1015.1270036591023,1042.0291410196733,1068.9739025280498,1117.1840539035159,1169.1309895320535,1263.57858000024,1364.7019366873733,1470.3979038565194,1631.1024778984665,1694.5082033229835,1789.8275663734967,2029.7113446838732,2175.567446606167,2231.425021669287,2377.537018849421,2532.5312458955027,2378.316757492613,2266.587174422177,2124.139519508908,1957.5211029332395,1677.39375865704,1502.904592790519,1357.163082344448,1226.180247428672,1108.9494471240307,1034.923543295555,994.6943098413112,969.7900970450532,970.2229519377721,987.3617572077376,1072.3652360594413,1205.5886205309005,1326.2239469918982,1375.4811103918782,1416.7746770194985,1358.3542686018204,1226.4658031851163,1023.3477951000181,954.6162836308633,765.9803989159192,616.1840685148536,419.63233819639186,308.32256423358587,132.03953153707278,70.14953195508444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,98660.06845849329,1791.4112960952984,17209.024559933478,25072.17310485923,27295.12761396969,16016.92621851939,11275.405665116168,0.0,30.84201400269589,64.80919488918008,108.79185397283888,199.52467789452552,319.9443479803362,446.88745413533286,620.6117532203889,853.5989650141112,1100.8660300148522,1286.0776303291107,1463.4998301005949,1695.0623586492509,1791.8093942174646,1795.0679383468207,1739.0198299434107,1686.8167686443296,1446.6225283388003,1256.1782625250733,1094.4050238096586,1012.8952642045682,895.3007039010694,856.6673788803107,826.6457886071395,811.3093588940027,810.7507780302305,808.4510106937372,833.7241633238145,865.0986158047427,885.7139350920468,907.1244809131399,956.9480698460022,983.29443709456,1013.2760582583569,1049.5150887378736,1094.4907266190364,1121.9305797486147,1151.7937812164294,1181.451234264231,1239.5524218072592,1295.3326012160096,1348.5825586869355,1457.2551167842896,1665.0689522348262,1772.7405107426596,1884.6529247580381,2093.502623845247,2238.6286790018303,2300.8228597598722,2433.4153303641433,2622.957922288601,2618.378566613334,2548.5076897269078,2413.951879373529,2299.2979653677194,2068.2706621278085,1893.066087440392,1754.1656844214408,1642.1069123935501,1485.267337081214,1358.0780621290546,1243.1559446266033,1166.0612359953927,1109.546811918564,1070.3385488815338,1040.245260063981,1089.6341986872262,1165.2601348804385,1257.5779935842165,1317.604092693314,1399.5443229459204,1382.1801911290938,1247.1188543276478,1106.9523886831512,1020.5958976214098,817.4692212943231,652.8370895974423,502.4307009479692,339.1357210869835,156.79953434961624,75.15965685508091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,95772.23488632179,1665.9685721153203,15662.729494293724,23885.22978351643,27196.141940348687,16146.131144608611,11216.033951439014,0.0,30.76518010660562,42.91497565341738,83.57048299900094,194.63063514217538,278.8374727515669,427.6936421696113,607.5561832929427,819.4776172863652,958.2228978845877,1155.7768943565522,1331.2929943992185,1475.9665245351025,1623.8110487780095,1639.8611353253284,1624.4467562659295,1487.9922286822411,1370.9066498591044,1138.0437660015716,1036.9309809197136,924.6012053052392,857.0904833823448,785.5599039357318,760.3597912666943,748.8670175535643,750.7587094496138,752.7562221656344,780.1825685628946,812.802383920585,835.3052839551171,859.5268723464951,910.4286142559923,938.6024841490863,969.6261536279802,1005.8502398596596,1051.1608362990253,1080.3625817049035,1111.1614136346648,1143.908049548501,1204.6874297155812,1265.2090808055145,1322.9675359699418,1437.972007442409,1575.4829146592608,1679.6488169060583,1876.1099281991665,2006.3564210219974,2135.7504453312795,2272.562587281053,2517.893192321245,2544.016913594416,2611.7703208324697,2570.211014115951,2522.4563773178315,2304.506344325899,2154.8595791013213,1986.2675334754192,1834.8044365533385,1636.3327249317663,1478.7640199534353,1351.943401190488,1238.5709522877844,1162.1827968602038,1105.935127966021,1066.8732148225529,1036.9016715481187,1086.1179976760409,1161.4372673434418,1252.4548222877686,1311.1541274794333,1324.6866784224585,1312.6386062391443,1239.904894999511,1100.5375999820924,957.3969860861333,881.6776996533113,711.3756628950089,499.3334109952786,337.08552940985606,213.85465501387452,73.93327797514296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,97659.56946147805,1862.1361687829185,17212.797023685576,23767.805123343805,29662.657622209546,15465.385921235084,9688.787602221133,0.0,23.185969034976026,48.55390738518817,95.92277244327343,193.35261159260293,332.13755549378607,483.62349694674947,685.3598558863422,915.6379615807268,1101.4433888438175,1271.4556436809025,1509.3397792176495,1643.3418931536942,1808.4596742058047,1817.6380689205664,1791.9417246091873,1636.9862172576081,1463.8364060059196,1184.191567467933,1068.5246987417647,945.2082995838992,840.1347674085943,796.2642237775823,783.5496173631441,754.8292546052071,751.5272738864512,750.5884280999124,780.8513200115402,792.9364851954275,825.3144183993736,840.745427913296,889.4949324950458,911.8049144304944,955.6567002373127,973.856803851918,1033.3942323853616,1054.3150881613612,1090.4054645575234,1125.1543500518628,1211.7905926044004,1259.01340397027,1346.4647720060173,1442.2700642640948,1612.2342880837102,1794.0189595986692,1959.455654149905,2094.928942198425,2309.9456526643835,2566.493311334277,2711.4685065046724,2807.3789684058784,2921.728288921762,2949.120206828592,2711.8562416409522,2504.7544976603417,2331.5083923016878,2080.792171751898,1787.8660060683878,1600.1502854873122,1441.5269354213654,1285.7373730870195,1179.0682454669518,1092.7012754221082,1056.7423844564737,994.4048094159123,961.1466960919953,967.086804129572,1018.1629344360858,1063.4160838770447,1108.9364865743862,1171.2765675695373,1168.9415093979273,1070.0669482907067,947.135362286705,859.8929830846374,732.6552542101767,585.2344798011617,441.3628191129673,312.37680658364974,170.1608764759761,57.33142495625754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),80309.69843924818,1623.6898551588793,14276.487809703056,19410.167676328307,23749.773551637383,13272.77061012,7976.808936300546,0.0,23.05928819198868,46.134616978581384,86.82768652125726,167.20593620469396,288.17732980405214,417.3203014398527,594.9646960184532,797.564552942506,964.4967931138902,1112.0764308461569,1312.8084561630515,1405.0524949845621,1520.9476347390985,1506.219952487813,1457.3429120432238,1271.0952626257586,1155.4461943533631,927.6581180027299,845.7790074009043,758.3499213755155,715.6006838021207,654.7441963444643,646.8737663237767,617.17695680162,614.4788577088026,614.3594430028481,643.5055488164109,653.085948343268,683.0335343152187,693.2838752024498,737.8528996008363,750.1660615645662,785.5403710517519,797.0107186129349,850.7832832170607,858.4608114756215,892.825447177347,918.7976955850045,988.4007766312453,1012.0640145797216,1083.9014873037452,1152.0694255845476,1287.8019519074255,1365.7324380504049,1562.6146491236473,1666.9808777405026,1845.4316568302545,1956.5508119697236,2118.8860703103205,2228.92860254873,2340.5418087980297,2313.469234594013,2228.9549220156496,2165.2458379019604,1956.436641754151,1751.000881859434,1576.8366822010462,1426.0968659156388,1232.2118642612272,1094.1160554342632,1008.4132670928412,933.5219140008496,906.9941111427228,846.6269594683987,817.8879718070289,817.6598979063556,861.4041390301953,886.6936343541423,915.3045262988595,957.7037135773488,918.6436086023576,863.1280658849521,763.623174570455,700.4841144903663,608.024131429848,524.2407122442906,373.2393134860278,267.9284424644848,148.12420149977638,49.6712973976351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
