Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,10357.591740779475,305.9374971828051,2243.345032115831,3354.5355303770903,2663.2845427069665,1255.2087796457065,535.2803587510759,2.6832771738189924,8.469593955291828,16.764858941112436,23.93282379054053,38.66008341936157,55.07617552800385,71.28943948140463,89.06124489327125,121.68983424589756,137.4800453289891,158.83648131526428,183.98681930736598,204.96416933611724,211.13036809844417,220.85798215750407,225.07102261107983,215.41189954619853,204.51373691756385,186.69739218898772,172.70528106241872,155.9373689203603,143.32860419863582,131.48583749137896,126.34784800651943,125.53933190688059,122.51827782731912,125.89901182480983,127.85541300708944,133.09543970967056,135.1407503148442,137.95313091461463,136.90843914990884,141.01480126254663,139.480192715192,140.1068191778981,138.922475728987,140.62907587621498,137.35828804383294,141.30546277967287,142.26055891578855,147.38177934259355,151.83516036125178,161.55331208960072,170.6781508114789,182.62409764974745,190.61626472443518,204.45528931336025,219.10996825852246,229.95698129067318,240.97185952378143,247.24132299585517,252.05738538081417,242.53997095333386,232.9432984770023,216.82479617563686,203.943307963804,181.12983074440746,162.77083441624973,142.7545905805394,125.53230139896843,110.49060867691112,94.81809036960829,84.70314217217478,77.39660971397468,72.4392017374705,67.91502455092565,68.07535642815952,67.18318885631696,65.79439876835046,64.72502433636677,65.64298135718396,63.6729482963727,60.22208556437071,56.202111794003066,52.61885633254446,41.28884852473833,29.55140392209043,20.41749595241292,12.112845184948116,3.031358717694067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,14298.170509517779,381.871168306382,2828.3928653962994,4750.908679684961,3831.9482239242247,1760.8271039058914,744.2224683000159,3.8964486692413747,12.201002832041027,22.996115182150714,32.44821747717978,51.54096734653507,64.36749101342264,84.9921812421928,109.42874454361862,146.74961592762696,166.5122577133054,199.74564572328998,229.27729676489437,252.91896705882976,263.8293033196914,277.466343818351,285.27851572471883,278.2214730514212,258.9027113058985,241.8267843011118,227.66395068716088,207.434934513762,192.0473054118899,188.0799718344169,181.52743188534856,178.3638020625407,175.93140309716478,177.0809451296043,178.87501859160096,183.48803708835788,188.36015281023182,193.0090461969112,194.73051279392854,198.5964274620084,198.8425872843976,197.26107815952494,195.74674502426862,196.68828721574025,194.7851099466215,200.22894682669795,205.2809291627008,213.3807735676089,221.6787516369309,235.3370968482497,254.15338513445286,271.8452716658708,285.4481513144611,307.88488466775465,325.7012815876961,335.0147049018952,345.4694769084758,355.6397701464637,352.8255607541662,343.2849642780084,326.5345302706168,304.18357266579085,278.11605476302503,252.69082164988697,225.78087457599457,199.403402421573,175.55540067745915,155.54939600608762,134.373768849363,119.47219289021132,109.40665647638671,103.64417510185932,98.02332201692957,94.66388353321524,92.26320970692528,90.74826874309002,89.75062820605564,88.66966703816038,90.52668857964643,85.49258946918383,74.7485514351352,64.61677651192687,59.39673708803928,39.7507377908791,27.718826622140323,20.68367840999301,12.119318405765881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,34449.72190807359,705.0868254018925,6747.189032902473,11097.38722681109,9518.79194726401,4326.092567162604,2055.1743085315175,5.50859866278149,9.109068903115881,23.634065003075506,43.37659806615484,78.86372931438599,122.8544614505782,180.79484759252117,240.94545640927947,337.71251802088614,413.019275758311,495.8686430522452,577.4721111274221,649.9145631539682,665.2472168491593,668.3590353478718,652.6744779732456,630.1785510229984,587.1960385334618,551.1309016892753,518.4157003736284,501.5567842014994,466.6311152664034,452.3217527204722,444.539516821334,450.9995463175333,439.0585477319063,441.8491057389222,440.888669437148,443.3449582931448,446.79939993102425,449.03293110514124,453.80284976299913,452.62760597213446,447.8425871994757,443.9915419654358,441.53736871106423,439.2460210649228,442.19735148125073,455.0734962446745,469.30012554515116,489.0086672043354,508.955256783658,532.5274042712333,544.2546230402248,603.0151080949379,645.4256216328732,693.7790016410021,749.0478675557332,826.4845793571018,850.3788737921885,879.5434701829176,907.0369364480342,905.9758123213173,864.1168882431622,821.3490340893504,772.6387539053908,679.6505286701314,589.5212995184514,516.5106110012712,430.64983534505325,353.7845734081596,306.3697088984402,272.3227041160945,242.69918714534,235.8299043918227,227.42580134591597,232.45300122545456,238.87541209646903,248.2458518767671,254.1606611033896,250.68728755279187,239.02799285225967,226.06549715321358,194.46448635916406,169.20529264111738,163.3383934938705,123.58828461643174,85.88288187141478,64.90036140758133,35.60731760351542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,38371.0749133142,745.1109828319085,6766.182009660584,12077.105616525376,11065.562788270778,5017.222096903822,2699.8914191217273,5.753145763022723,10.218640387130288,25.336404153937675,46.687343954664136,86.68903948355957,134.15879069860222,190.4553896930843,245.8122286979076,335.88134690276434,407.4194606535223,481.211888273944,556.6834090126737,634.8356495398174,665.5755323046593,672.0610423832833,664.314079584841,651.0520216081057,606.8568603606005,559.214045258266,531.0766737781062,507.2984188872422,476.01056096732435,460.5277139437418,459.4966254644705,462.82953500391983,458.5080310804837,463.09435614307,466.82667258659217,471.1925540996939,478.02982467790633,484.2579340574396,488.2323461540194,495.3728487376927,490.96320336523974,489.34546742735284,492.08594354274095,491.8042310042074,496.2622453761131,513.3353741759133,524.5769899470566,550.2932946528614,577.7983352396092,610.2114084376709,668.7517015530145,739.3925589436881,791.7972271184617,850.1804447767427,920.907383967698,961.5984615801359,988.1782727391086,1016.2211809274067,1036.5411830237538,1018.5473265454608,976.874180583378,927.1881105408954,838.1364575240468,739.1845888401051,640.7990564472925,558.9371197937612,471.0265274117192,420.8498563238377,373.5245884817634,337.75021072739906,304.10492428156186,294.69758529418783,283.76639126549475,287.11886127472167,305.4623867619779,324.2483707308313,328.79554746483444,332.1021483595954,327.792099289123,299.9915491409581,257.20566439175843,228.69378009865676,213.4601946028178,154.52392676740527,108.71503723797848,80.14853422272665,44.21456681504193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,44531.91486744176,831.0708124707094,7430.668191639483,13775.329214315867,12430.22120459283,6238.169479257497,3826.4559651653835,7.852178052550287,13.693650620829036,31.44141907843377,52.11331820894144,92.85810435970562,138.6188090707694,216.76655210137775,277.7267809781021,377.2596108121576,458.39389470386465,543.0881066671883,607.2813874162201,692.3518562946895,728.6079364438114,736.4229189089929,727.9115225903772,712.8390215249367,660.9383957287314,607.6126499395388,577.9608906089734,554.5902931545219,523.8275056633827,509.7488879514592,508.7634835568096,512.4953571305425,508.94286123116586,515.0155302477904,521.6267263105187,531.7423810314057,543.3535424348127,551.3576139480816,555.6914021112873,565.1744376209056,560.3357422832258,561.8541601022971,568.6582770268561,573.315797332893,583.4787248833347,605.8134741740771,617.157808005042,647.7412202149292,682.26512242492,719.8079653466472,752.5709001289598,827.6422284862633,881.6363794369037,938.2703285964128,1010.9602178487796,1077.7681025213333,1112.7231268762014,1137.5916432447675,1158.9544341098504,1144.0761250317669,1106.5675445051584,1047.5300838977648,986.5009900376288,880.658670468238,768.0449568069632,678.218163522512,584.5093930451865,501.16112571723517,451.4111448669605,416.8224467985164,382.8174277509542,376.7181707796241,373.8520623584268,390.4942362624401,433.4616808804402,479.8957710265647,490.44605184385244,491.92830368043684,480.6375659426643,426.22610536490373,350.10250184977286,308.34182059325747,284.9515870565147,205.26062379815048,144.49624656416177,106.19396573313156,57.97542171197257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,55469.73129924709,779.8988658065499,6637.217195167451,15162.105654004701,14946.907260413203,9603.29433455508,8340.3079893001,0.0,14.610065386477697,32.4556652477109,53.3365872032047,92.67261145379528,141.0765706695384,190.21610553194682,255.531260313876,336.99915189505316,406.6410882779682,475.1235716370121,546.0156889870601,604.6383924092063,638.201101043521,649.5882066465572,654.4702858795387,638.3301145809862,601.8419469110322,552.6899998703399,532.6776470291752,503.46844196563364,486.1289746417089,471.9244765175193,482.48822537958773,490.3470704137864,498.6402306847879,497.49312979857865,517.3304561961544,543.2203048562799,548.9736216948523,566.9766651852874,593.2125854298835,613.7316842951451,610.7297322885868,626.1753833622543,651.2766900722371,675.2994074825857,697.0828776117868,733.7618204252439,776.623373024627,820.2396984185331,851.3139275932901,897.5976605636885,1008.0692161026656,1083.3155509999883,1143.8596833905406,1223.4432585759632,1296.7718523169635,1297.950217816973,1321.9270723811942,1336.404931362925,1340.1812569729154,1311.9207509808552,1266.1771308790062,1211.315030560645,1113.6405241752327,1009.3633108784102,918.75977609703,838.361563450183,778.3172812949159,756.6655234675062,727.5061112425169,708.7114032013394,705.8977305585687,708.8934843570917,736.0886224107556,803.5480812422536,911.1814463545094,1032.4484280587644,1073.8884700230597,1080.6806135967147,1047.4501212633209,971.1128698035783,773.4289005478768,687.347383377051,571.8147062265389,449.83412024151846,283.3537410290219,220.1861494735629,105.24298495245544,43.51950070663536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,59520.96740497631,1169.134267306543,8745.934652963033,16915.057780710944,14879.967272604403,9786.5617157821,8024.31171560929,0.0,16.955541279253854,39.10722987196026,77.48721263584792,129.11428807935732,208.16402977088998,299.33469881334696,398.9712668558868,503.3387613761498,595.4183839903585,677.1178571496116,761.3534323984775,835.141470396511,863.2351372958686,863.4530921129377,844.6198697447649,788.4672182362277,724.9923038547803,654.1226441037412,634.674482303604,603.9715984784722,583.9342985286787,555.3325483370152,565.0161602470628,559.5998222096258,563.7132408671223,558.6394382073449,585.4922295201419,608.2254214041927,617.3719349405862,632.703313082907,661.7885786451011,674.8020041179923,681.5000449548163,700.2032341227658,730.8898940692026,754.2088068261859,786.4025154235246,814.8500857041125,856.6164875969272,891.6392533827776,931.5602043445942,970.8768433590641,1025.7198223407272,1098.8898324898366,1159.289916421344,1204.4349051678987,1257.5576097182802,1295.9302598370625,1301.968437050168,1309.5499994038814,1323.8609674503316,1304.1576654612154,1265.2291723099615,1209.0720566461707,1150.0264506482508,1058.7185271127903,969.785606587281,895.1988274262917,843.3430582431531,776.3129314899174,739.5980803962549,715.7533301127437,710.2437630327369,708.8100851798348,731.0260747431928,775.4323211643177,862.3391102935858,952.9740119967653,980.5670179868075,1002.3921006779776,987.402529075237,896.0050179809946,768.0019367001597,689.0417725680389,580.6120975532374,458.5039333492202,327.47672910428435,223.12021962976556,116.0494954750892,42.16485351171172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,57494.353083260845,1049.6630656226916,7927.68601937352,15952.411081995848,14672.110976037548,9702.406411406097,8190.075528825135,0.0,17.162874512835284,26.392671543168674,53.42073135300886,126.22151393739824,201.7337114361668,261.70714706941305,363.02441577070056,469.58993346012284,530.179911972847,594.2582420898448,680.4300402079781,746.7792176472361,776.3284235167398,777.7315227736038,770.6123077340967,729.4675176268692,678.2912419620578,595.7858876597838,578.2317727223406,546.0295107095799,531.4742472259295,501.36119561567466,518.5659409886779,509.3673766297506,522.1375806545483,510.9615502440975,540.0107904859349,564.3592357316353,577.1412556940172,589.1837501524241,628.437484000481,632.2892034038435,646.6145005979276,663.5209384832298,688.0149164793485,708.8987575005525,754.0524210188763,775.5465013020993,821.7550570553873,855.0477916243698,894.0025689643237,925.4613957220689,1048.1771117110716,1074.3283592399277,1152.7133944891166,1192.9586683953576,1246.1649137769998,1225.5615765591251,1286.6803790408558,1281.7694572332825,1303.4571932195438,1298.6889927966115,1259.4435754436681,1199.5287094994146,1150.815756343645,1066.4058592276488,973.6714281160409,899.3720068028869,833.6002322115439,776.6799558377978,739.6714307394182,708.1811190558644,701.8111105981578,710.0947442131658,713.9756008729203,750.1285030024513,828.8144207282005,925.9221703988713,967.642710480372,982.4743548940513,983.3225805786253,949.3497527630409,815.6438689526713,695.4702177176193,631.3861588694153,500.38419413664286,326.3374362458475,222.72804157572136,147.37591498069526,42.038127231560786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,57609.90164872355,1113.4010464966073,8753.088542999778,16333.10603510957,15309.28771691609,8956.18696937841,7144.831337823104,0.0,7.7647924291320285,25.414577944741286,60.684167177176725,124.12504276787436,207.75645680779218,292.4679595470019,395.18804982288873,508.6232528029492,595.886622603542,666.4427218876109,760.3366671465255,835.7649737982597,865.4555245262584,861.1118523504753,841.8719675247929,787.7275869763192,727.704167616115,661.9096108302342,640.2535949366962,612.0904135673553,594.9680016706575,555.7118095793933,544.9065343005234,529.9903558402078,538.6852756843834,527.7118722775116,557.553884693795,579.4405708435753,592.9821142761447,597.9035721690441,629.5127037607856,634.6010957711193,648.2788497500311,661.6656089006527,691.7834787888514,711.797513782427,749.8736077121075,767.054264358018,822.5876582638797,867.2012721047736,913.8682047103188,956.084968512796,1046.8524037912148,1118.171962126183,1196.6911285699755,1239.673155755659,1304.1183529074126,1329.3995512893268,1346.7191676924933,1338.0583647107032,1362.373151883006,1354.0333532650964,1311.3342303140182,1232.2845868130034,1176.430711589211,1064.8288387969658,953.6995092259848,859.9721151935895,798.677349214363,721.7826391128799,684.9561186424799,640.0392172512773,625.1896981337353,620.7171527850322,626.0328548173944,647.1878103103081,713.1036658943999,791.8079542611688,825.3452161156272,851.8504688191133,865.3792219059219,803.8216091631259,704.480123096848,625.6637516200717,550.2263790505865,431.42673014969114,315.26748658619863,216.59147907604336,125.79829343846399,37.172624540243625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),48090.207340865636,975.8208958083411,7170.638187143606,13503.260273237349,12379.707430632583,7848.359282822952,6212.42127122078,0.0,7.365055880656398,23.406156574499153,56.997182509511006,109.88490915132229,181.12801507674823,256.2815264278076,340.75805018779636,429.8374965220642,501.79329303339637,565.8364008653052,639.8450056183551,702.9668808569344,721.573456548504,711.6383835580283,682.8901298654154,624.2320619298522,566.691618177503,514.0195574255645,509.31390274268233,494.0919369713963,491.7708752908649,462.93358905810663,463.1570001759167,444.0865518791345,450.7723530491513,441.7583051390353,473.24891591274945,487.29613000314964,497.0950809039128,496.20773077878374,522.5455576755144,521.7817653130697,531.5444805467082,541.5146491843392,573.0877453087496,590.9776797756925,621.9761253903953,633.1370195302865,681.4022383709819,708.6343110533853,744.1663862698763,773.5326351237446,856.541210532405,864.9670191614169,934.6990740836301,968.9780143697266,1032.354490024241,1049.4430962810131,1103.1064761314942,1091.1662018225347,1113.3091260330166,1110.3531684487207,1078.2375148648907,1033.4585431979592,999.6347062139398,948.7410500064127,857.13980770994,781.396066319247,728.6943525879152,658.5124006736993,587.6682151301743,544.9769593140006,533.9604629929883,522.7974102331984,529.6818941061528,546.733414916924,608.0572488323005,676.0884616228293,708.0997759859804,730.9680232585131,751.4672150516466,697.9101547151984,603.7154468899158,544.4041751129724,489.56081201464065,382.2019786575674,279.9539025339224,201.09688540812832,115.78470693838759,31.16973303107648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
