Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,8438.75261252844,16.638414953412045,926.663473517676,4503.495220738436,1763.3779519894472,947.4293827797862,281.14816854968126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.638414953412045,30.726260207706304,35.310754617288715,48.19054612334652,61.116848367329524,60.381311265809565,62.210771230977535,76.1870204316852,84.05306812331493,97.95983727712886,111.24304565564793,120.97376571747931,138.3102444999617,144.12798628496762,153.34240962877033,164.7067968603751,180.9107621139745,172.42891351014157,198.37720577953903,197.2185892274496,204.4416653158999,199.18931839345845,219.6918437119019,201.675123650112,214.3484308294164,201.03341645436925,210.00424757744048,194.70020028640332,204.997681933738,189.5266217614304,197.61976574980287,181.63119300026162,189.10159400130752,173.43672139861752,179.08272331258055,163.0114282313864,168.89058172509291,156.1122278529163,163.81343138064992,153.24347162695543,161.02017706565633,150.8224398501808,156.7878628612292,143.1661543122683,148.35838938471946,137.15369473656358,140.89861437396038,125.50181275293748,126.49967579141027,109.77024353379862,107.34377944829535,94.07993265466835,92.89936289222844,80.06788070594641,77.62303623219286,70.30912787602982,68.8984418119151,61.99271091103751,63.00938628627881,62.55272400352985,58.88275642386526,54.74172730394355,50.27777298923687,47.874343013468454,39.48345156880941,33.965142468574726,23.77246654462873,18.448201187412245,8.461317722030286,4.123745751576947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,11768.019739678995,22.728989246087714,1252.6862274789155,6241.259972789186,2618.9940576186877,1253.423890601643,378.92660194447916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.728989246087714,29.129193549761354,46.269156093458655,58.26802822380227,75.27069087745859,71.3830784707277,89.0830546802218,95.46431520647762,111.96945263228666,133.00106675758153,171.9750533968146,170.06316229209767,200.80997529822704,225.26113533363733,238.32252198443427,219.58378406243324,260.3572521534422,259.413643091584,262.7780854401164,257.0919839095985,282.6657656065431,267.2443097730959,279.9873703616476,268.95457924927763,287.7268059659696,267.3306662529158,281.84740951899397,260.4046916706369,279.72120529097117,260.0964994322373,275.664438380949,253.73304704898445,266.481550717322,244.07989772742195,256.3865207749353,236.29962691365319,249.8271821283861,232.03387660397004,245.4127399145725,228.41670095277698,241.83553593261985,224.5381342876791,235.26049717619816,215.67592468346814,224.709920373734,202.961777527866,206.72209444303002,182.20508551338554,179.2217702093867,151.2585561750086,146.69985489093594,125.64905716931999,122.93542263404629,109.99460725988041,105.95070454709023,90.7470820141131,90.11348773423192,82.87150799549202,77.99396200412467,71.8904644448606,77.3191837325395,67.52058146386355,64.74933643549079,54.5176219132687,57.83643671548149,46.4091115076013,37.775981692691865,24.71751913786325,19.754938053585327,5.645075024632957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,14631.24078921788,14.164967472579304,1473.9606115093625,7922.653733690265,3299.5825986231844,1490.3415538588358,430.5373240636586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.164967472579304,31.168889493698693,56.84349258437491,71.65065113581439,94.1736159993565,101.35584278798795,113.3069357677547,112.88656040663444,134.93399486858186,140.94253603216268,180.70997974293252,198.39901299785296,237.589099692211,242.56491776777358,284.93646469749933,287.1318714952767,318.3087821180518,303.9850011300854,333.57906334915583,339.98635225371584,342.5353278341898,344.29864345533423,364.5966966865728,368.98625306248334,358.14834945023614,367.52007361058617,354.30247809332013,357.9436058410618,344.9545748805339,351.65061584817187,339.4252115294318,340.0783343363028,322.71084487721265,328.82270319281866,313.00415863885263,314.1801999721635,299.0032095694338,306.5165320372631,294.20487324814604,299.75168638153605,286.9356125562925,296.1831816887264,285.4046573021371,285.46851379400744,270.03475672701825,271.0057080400563,251.64928812860433,238.75742751780263,213.67036120159463,199.81091996261867,174.53935546504533,158.7936387793059,146.3220331327999,131.3831717955592,119.60957922455992,109.53372539543732,104.79815328951588,88.99589966188465,91.166948143531,84.45826752607005,80.92986148250819,73.97676624465632,71.47988993231297,62.576160573335315,62.56038315463604,56.28042045908986,41.9808438810193,32.21641704122362,22.2859708302419,7.180471947143243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,20479.964438055675,13.860803302378097,1732.5396376346155,10596.389629929987,5077.827485393497,2427.2910216510813,632.0558601441103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.860803302378097,36.20971114729085,65.67921291526238,85.79788973975153,113.74404146534724,126.69084583390213,139.22440876114192,141.54918130391096,152.1111709349791,172.47528609335376,211.5507006921441,232.18689403028858,255.3202947172429,292.8060923501152,325.43028642048404,336.96725140671805,354.0076512656356,383.33704889184736,417.5261143399353,415.7467637712296,450.4286261134523,458.5467395163214,493.1649322165831,471.6681956118736,505.6595293458889,470.88589313296546,503.9333284630545,464.61923976735915,495.8337023788157,462.731813874749,497.50288541139366,460.9122250068535,484.724970483656,453.1580328773592,479.31925601263214,447.41828853276144,470.06076273830337,445.080521450763,470.9602438445021,443.5432715191506,464.23007550341725,438.0582591884083,460.3977820719242,421.8395125652845,432.4475075893944,394.92118730452233,402.4677934781954,352.5618641856493,351.3194666922857,304.31049231068266,296.56484845166995,249.78520862660062,244.1473015803348,215.7132691773328,209.07202002498775,182.5767122688501,171.67152430016563,153.9215840737971,143.9970973809407,131.780134575645,123.75082888007395,121.7599121720241,109.70211260114228,96.59769716132091,83.01672370672135,78.64394077688509,57.16846891685013,41.786841351661366,26.66440255663772,16.715760900867373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,25444.47483825324,14.724427931455367,1878.2644155438263,12503.125901278177,6823.240818116228,3349.340036519423,875.77923886412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.724427931455367,39.890888121862716,71.90979030931132,94.67859589116827,125.5351467973803,139.84977601494535,151.9571051667824,154.78465880543826,166.32125668569046,188.91589687778625,230.82968125761215,235.9229044325276,277.6687151833214,318.25338278275416,350.76281657081563,339.3894311172135,401.89529922743895,420.64406403177145,463.8731641859138,467.7001769849854,536.3801833216834,524.5029356722197,566.8615309349484,544.2099352378863,589.0179194037443,552.3150205808197,595.5928146271646,554.487352351746,598.1248922982547,561.54675493065,607.9831375225823,567.5599487730988,601.1924939620585,564.9399900744759,602.2971040417927,569.4058399383489,604.1897127058118,577.0881979031149,612.97526603629,584.6933787817977,618.0927012858098,589.4870712906138,625.4792202785493,581.8043724828542,596.0788162782139,541.0764279199453,547.3535032482927,476.9406934294341,472.17116918131376,407.7433353595458,401.2781975160207,340.39542085051886,332.4439156628253,296.55529362899534,289.12710374305186,244.13959996406112,240.00024652300118,221.1584979314614,207.4244048263469,182.25977871161044,186.81424180198317,172.06333535710183,151.68835367217085,131.89986318120228,121.10147811326117,106.61630147816591,78.08378165421168,56.54748319449504,35.663381157500346,22.115261056010947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,38798.08331566508,12.888283526518354,1848.807357058456,15048.439359601258,11710.402588819217,7696.2618481174395,2481.2838785421986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.888283526518354,34.459198639053284,57.0776341072421,78.20189717164077,104.11131370218705,118.12126790467691,129.19757658724606,146.60511943884006,178.7843166064043,202.8258265108037,235.67212665247231,264.0030834090688,299.7479963288208,305.1545655768168,331.19706832680754,355.18162977616083,394.7490564651823,424.94876537885284,453.37062702852165,498.7183305889393,523.9470243905819,558.3713308469981,565.2830123795089,620.4380667491603,624.1884017973696,666.7959056985702,661.8174314382461,707.7768881305929,719.5107020732877,766.9432357392774,761.9122953607689,811.1823643368859,811.772066852318,851.1118769950672,841.0475029154115,900.1308567751785,892.8903539807499,943.7814614978076,918.1437207843874,975.2368090152532,976.472574610806,1036.6354417737164,1011.415123861436,1062.2677317074608,1028.2660665739304,1017.7144170329996,939.6031634966893,937.0699035208607,863.7961749438687,835.6607417053427,777.0889977308854,768.7333782992882,710.6544246096872,663.7391506452748,626.615350333348,592.7939035999071,560.8505191812402,537.1602844231836,555.8366958365399,530.1866219663458,536.9417797863965,476.23335645017255,468.75434442217187,412.37320232883417,354.42809636970117,264.45362487600073,230.8904082284792,137.5696381816939,76.88793468575237,40.191297588299435,19.50197541109343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,45053.60442959894,13.853545229991706,3169.7628273903865,17515.876219321308,13260.922942568744,8246.868697449467,2846.320197639048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.853545229991706,35.300245727435225,69.27482631582511,111.842651364134,161.89081110616561,206.50870564448502,248.80461570377238,290.836775021521,331.49780650779087,379.47645181291074,425.85320122657026,436.5206208918088,471.9561160679674,511.78503251378817,540.1437570696737,529.1673843352659,589.8564393226345,622.1541186399726,613.8436463030484,638.7252829943096,662.5015386385103,683.6074375332875,674.3642434722801,733.4269596782015,718.5131461998465,772.5625212681844,749.9623533504456,788.6122602985793,766.7513327509259,826.8636107890956,802.3812565724808,853.2691259374076,839.1507238839082,886.0513323876213,857.4550039963221,929.8815865903433,924.8461247951776,1005.3871005986828,996.2990531451356,1073.7723497202478,1062.8501568660977,1149.9684595561093,1122.0094850675598,1203.3765015007675,1175.1269614940934,1215.1082018875927,1131.5706548404858,1122.7488255720268,1002.7051923199443,963.6175093830383,845.9523619320877,825.4739939962911,752.7152035831308,743.2661106355092,694.6463519897578,644.2834268762371,599.5423209988572,586.2892952137956,561.5966765955609,500.8851641384704,528.6002821067303,503.8338754456283,462.20886639666855,421.83299481938036,429.4232895270176,344.8562888678499,278.16461782044854,203.01304578787136,126.44559539798092,50.18119569883936,26.36042787736267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,43753.964457645445,13.91144012300117,2948.4434232100803,16587.178381311944,13101.021282942318,8216.624316326937,2886.785613731165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.91144012300117,22.001107453111644,58.16590710419342,90.57858727466692,141.3264081937645,177.25254133974906,230.2470360080458,255.06572542603251,331.1038860110498,341.5864995744263,398.4922956235563,429.5440283076972,473.07940089378667,444.9376997181124,509.38028222503317,515.5327343213853,549.0619254340241,540.3325129099477,605.5645490288551,590.5960181470383,617.9732759020998,609.5549759009616,671.0378926796839,652.6264783320677,708.1960836531799,692.8811037858097,740.7575918851703,714.1512361939957,766.4204721515849,741.5924775408488,804.4975685532768,779.8885946402501,840.9418650684453,816.1949662550054,877.473661953405,857.9201373812352,939.6642776505254,933.2689142954356,1016.7506859232345,1011.0321870200888,1095.1804557129806,1077.202497650412,1161.4827393688229,1138.1578285013015,1211.076171518208,1157.5467689229665,1182.3459258304188,1068.9761358361563,1048.000972362294,914.210524353394,885.0706606406852,784.4141373444611,790.6791509538151,696.5267068837717,699.4641189745225,640.9201231105214,630.0207731544665,551.6790297418872,569.5357261974988,528.8245948229634,525.2787701489498,499.9665212872994,490.2101772327367,448.8141967750278,426.00494288451375,342.0787190805088,276.12349898224494,201.72220382414972,125.5801361146184,50.028920667701904,26.256296882363557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,43128.88603251909,0.0,3068.6733613036,17122.765682718757,12457.952436556512,7668.636199628264,2810.858352311949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.363363445754805,51.31154829446832,90.55508472878759,146.83605416610746,204.99093003270733,259.5530599054221,290.7462710604273,330.87108635440984,365.0343139926756,419.49689822669467,426.06971842352084,467.845032672624,504.4930065295071,550.4213938752018,534.4397751749066,583.0639129663971,614.4217325904181,632.3432950175746,646.7770793042844,672.3553517284547,704.7984812682847,697.15584925634,724.288848069339,710.3501220681978,749.1384334408118,728.5997790226459,764.6919064889336,746.7260271510008,783.9406408664388,773.0720674201103,806.5692288604065,788.6317607159697,835.618076272662,822.6085936685074,871.6919030887155,876.5684178736494,943.9021186230003,941.7766930055382,1015.1934748206113,1009.2467076390808,1075.5852742851466,1063.3042253051904,1121.4641055900634,1087.9867363676562,1134.3053026103712,1067.3364817257593,1048.743005552452,949.108311031644,908.6494251329407,794.0076402893296,764.1997740800383,694.3305925789001,673.2539126014814,643.2645243980022,596.5995257812689,560.5719437938567,548.023515078145,531.164685825625,468.40992837407384,486.16073169460236,457.8225625530883,450.5964000480301,416.1036779344268,421.412830144146,350.3382287580433,299.67520829984636,202.07324823891759,128.01039639175704,54.89208932497368,29.933710618719665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),35207.180941282335,0.0,2249.0151830976265,13259.741418870723,10538.180423516531,6711.582435918402,2448.661479879039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.760923700836821,43.711482393940436,75.13693996214316,120.69617997374394,165.36863301063119,205.06770583303646,222.91032521036016,247.75760727665798,264.09231784988845,272.35705228972586,294.9928009244727,323.1632146721896,344.6042032389624,351.04618221431787,393.649204714266,409.5250675577746,437.1942819132515,458.2669493389137,480.8291420357129,497.5829964606493,502.2907324414025,523.0555656995475,526.7199931159137,570.5327845194053,567.6591605508114,600.3258427085012,585.9705100365486,629.5354108136444,615.3968616889031,652.45288546908,637.1243650080978,676.8606290202832,659.582977987704,700.3597602211273,687.0200624107722,752.1558497051344,754.9289479217972,811.5237764259193,804.8595446141371,870.477737789667,861.034340414496,917.2652036455914,901.7362246548967,963.0092669885383,938.7890532387167,956.9576205059603,885.039610140708,872.559097176103,778.359699454087,732.7567542998337,647.9689176182221,635.3013522387964,584.6471579858587,545.0657326266019,517.8311531016826,508.45616724305563,473.4764158485662,433.8320152299096,436.43665702106466,417.4504132507238,393.927874530314,389.87740948182363,386.9998301098645,363.46056137645024,301.58391406855304,257.84798006516024,172.6812400330613,108.5340049399733,47.29149767248673,26.457167601351617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
